,Input,Output
5344,"(30, 2, 5, 9)",0
5345,"(30, 2, 5, 10)",2
5346,"(30, 2, 5, 11)",2
5347,"(30, 2, 5, 12)",2
5348,"(30, 2, 5, 13)",2
5349,"(30, 2, 5, 14)",2
5350,"(30, 3, 1, 5)",0
5351,"(30, 3, 1, 6)",0
5352,"(30, 3, 1, 7)",0
5353,"(30, 3, 1, 8)",0
5354,"(30, 3, 1, 9)",0
5355,"(30, 3, 1, 10)",2
5356,"(30, 3, 1, 11)",2
5357,"(30, 3, 1, 12)",2
5358,"(30, 3, 1, 13)",2
5359,"(30, 3, 1, 14)",2
5360,"(30, 3, 2, 5)",0
5361,"(30, 3, 2, 6)",0
5362,"(30, 3, 2, 7)",0
5363,"(30, 3, 2, 8)",0
5364,"(30, 3, 2, 9)",0
5365,"(30, 3, 2, 10)",2
5366,"(30, 3, 2, 11)",2
5367,"(30, 3, 2, 12)",2
5368,"(30, 3, 2, 13)",2
5369,"(30, 3, 2, 14)",2
5370,"(30, 3, 3, 5)",0
5371,"(30, 3, 3, 6)",0
5372,"(30, 3, 3, 7)",0
5373,"(30, 3, 3, 8)",0
5374,"(30, 3, 3, 9)",0
5375,"(30, 3, 3, 10)",0
5376,"(30, 3, 3, 11)",2
5377,"(30, 3, 3, 12)",2
5378,"(30, 3, 3, 13)",2
5379,"(30, 3, 3, 14)",2
5380,"(30, 3, 4, 5)",0
5381,"(30, 3, 4, 6)",0
5382,"(30, 3, 4, 7)",0
5383,"(30, 3, 4, 8)",0
5384,"(30, 3, 4, 9)",0
5385,"(30, 3, 4, 10)",0
5386,"(30, 3, 4, 11)",2
5387,"(30, 3, 4, 12)",2
5388,"(30, 3, 4, 13)",2
5389,"(30, 3, 4, 14)",2
5390,"(30, 3, 5, 5)",0
5391,"(30, 3, 5, 6)",0
5392,"(30, 3, 5, 7)",0
5393,"(30, 3, 5, 8)",0
5394,"(30, 3, 5, 9)",0
5395,"(30, 3, 5, 10)",2
5396,"(30, 3, 5, 11)",2
5397,"(30, 3, 5, 12)",2
5398,"(30, 3, 5, 13)",2
5399,"(30, 3, 5, 14)",2
5400,"(30, 4, 1, 5)",0
5401,"(30, 4, 1, 6)",0
5402,"(30, 4, 1, 7)",0
5403,"(30, 4, 1, 8)",0
5404,"(30, 4, 1, 9)",0
5405,"(30, 4, 1, 10)",2
5406,"(30, 4, 1, 11)",2
5407,"(30, 4, 1, 12)",2
5408,"(30, 4, 1, 13)",2
5409,"(30, 4, 1, 14)",2
5410,"(30, 4, 2, 5)",0
5411,"(30, 4, 2, 6)",0
5412,"(30, 4, 2, 7)",0
5413,"(30, 4, 2, 8)",0
5414,"(30, 4, 2, 9)",0
5415,"(30, 4, 2, 10)",2
5416,"(30, 4, 2, 11)",2
5417,"(30, 4, 2, 12)",2
5418,"(30, 4, 2, 13)",2
5419,"(30, 4, 2, 14)",2
5420,"(30, 4, 3, 5)",0
5421,"(30, 4, 3, 6)",0
5422,"(30, 4, 3, 7)",0
5423,"(30, 4, 3, 8)",0
5424,"(30, 4, 3, 9)",0
5425,"(30, 4, 3, 10)",2
5426,"(30, 4, 3, 11)",2
5427,"(30, 4, 3, 12)",2
5428,"(30, 4, 3, 13)",2
5429,"(30, 4, 3, 14)",2
5430,"(30, 4, 4, 5)",0
5431,"(30, 4, 4, 6)",0
5432,"(30, 4, 4, 7)",0
5433,"(30, 4, 4, 8)",0
5434,"(30, 4, 4, 9)",0
5435,"(30, 4, 4, 10)",2
5436,"(30, 4, 4, 11)",2
5437,"(30, 4, 4, 12)",2
5438,"(30, 4, 4, 13)",2
5439,"(30, 4, 4, 14)",2
5440,"(30, 4, 5, 5)",0
5441,"(30, 4, 5, 6)",0
5442,"(30, 4, 5, 7)",0
5443,"(30, 4, 5, 8)",0
5444,"(30, 4, 5, 9)",0
5445,"(30, 4, 5, 10)",0
5446,"(30, 4, 5, 11)",2
5447,"(30, 4, 5, 12)",2
5448,"(30, 4, 5, 13)",2
5449,"(30, 4, 5, 14)",2
5450,"(30, 5, 1, 5)",0
5451,"(30, 5, 1, 6)",0
5452,"(30, 5, 1, 7)",0
5453,"(30, 5, 1, 8)",0
5454,"(30, 5, 1, 9)",0
5455,"(30, 5, 1, 10)",2
5456,"(30, 5, 1, 11)",2
5457,"(30, 5, 1, 12)",2
5458,"(30, 5, 1, 13)",2
5459,"(30, 5, 1, 14)",2
5460,"(30, 5, 2, 5)",0
5461,"(30, 5, 2, 6)",0
5462,"(30, 5, 2, 7)",0
5463,"(30, 5, 2, 8)",0
5464,"(30, 5, 2, 9)",0
5465,"(30, 5, 2, 10)",2
5466,"(30, 5, 2, 11)",2
5467,"(30, 5, 2, 12)",2
5468,"(30, 5, 2, 13)",2
5469,"(30, 5, 2, 14)",2
5470,"(30, 5, 3, 5)",0
5471,"(30, 5, 3, 6)",0
5472,"(30, 5, 3, 7)",0
5473,"(30, 5, 3, 8)",0
5474,"(30, 5, 3, 9)",0
5475,"(30, 5, 3, 10)",2
5476,"(30, 5, 3, 11)",2
5477,"(30, 5, 3, 12)",2
5478,"(30, 5, 3, 13)",2
5479,"(30, 5, 3, 14)",2
5480,"(30, 5, 4, 5)",0
5481,"(30, 5, 4, 6)",0
5482,"(30, 5, 4, 7)",0
5483,"(30, 5, 4, 8)",0
5484,"(30, 5, 4, 9)",2
5485,"(30, 5, 4, 10)",2
5486,"(30, 5, 4, 11)",2
5487,"(30, 5, 4, 12)",2
5488,"(30, 5, 4, 13)",2
5489,"(30, 5, 4, 14)",2
5490,"(30, 5, 5, 5)",0
5491,"(30, 5, 5, 6)",0
5492,"(30, 5, 5, 7)",0
5493,"(30, 5, 5, 8)",0
5494,"(30, 5, 5, 9)",0
5495,"(30, 5, 5, 10)",0
5496,"(30, 5, 5, 11)",2
5497,"(30, 5, 5, 12)",2
5498,"(30, 5, 5, 13)",2
5499,"(30, 5, 5, 14)",2
5500,"(30, 6, 1, 5)",1
5501,"(30, 6, 1, 6)",0
5502,"(30, 6, 1, 7)",0
5503,"(30, 6, 1, 8)",0
5504,"(30, 6, 1, 9)",0
5505,"(30, 6, 1, 10)",2
5506,"(30, 6, 1, 11)",2
5507,"(30, 6, 1, 12)",2
5508,"(30, 6, 1, 13)",2
5509,"(30, 6, 1, 14)",2
5510,"(30, 6, 2, 5)",1
5511,"(30, 6, 2, 6)",0
5512,"(30, 6, 2, 7)",0
5513,"(30, 6, 2, 8)",0
5514,"(30, 6, 2, 9)",0
5515,"(30, 6, 2, 10)",2
5516,"(30, 6, 2, 11)",2
5517,"(30, 6, 2, 12)",2
5518,"(30, 6, 2, 13)",2
5519,"(30, 6, 2, 14)",2
5520,"(30, 6, 3, 5)",0
5521,"(30, 6, 3, 6)",0
5522,"(30, 6, 3, 7)",0
5523,"(30, 6, 3, 8)",0
5524,"(30, 6, 3, 9)",0
5525,"(30, 6, 3, 10)",1
5526,"(30, 6, 3, 11)",2
5527,"(30, 6, 3, 12)",2
5528,"(30, 6, 3, 13)",2
5529,"(30, 6, 3, 14)",2
5530,"(30, 6, 4, 5)",0
5531,"(30, 6, 4, 6)",0
5532,"(30, 6, 4, 7)",2
5533,"(30, 6, 4, 8)",0
5534,"(30, 6, 4, 9)",0
5535,"(30, 6, 4, 10)",2
5536,"(30, 6, 4, 11)",2
5537,"(30, 6, 4, 12)",2
5538,"(30, 6, 4, 13)",2
5539,"(30, 6, 4, 14)",2
5540,"(30, 6, 5, 5)",0
5541,"(30, 6, 5, 6)",0
5542,"(30, 6, 5, 7)",0
5543,"(30, 6, 5, 8)",2
5544,"(30, 6, 5, 9)",2
5545,"(30, 6, 5, 10)",2
5546,"(30, 6, 5, 11)",2
5547,"(30, 6, 5, 12)",2
5548,"(30, 6, 5, 13)",2
5549,"(30, 6, 5, 14)",2
5550,"(30, 9, 1, 5)",1
5551,"(30, 9, 1, 6)",1
5552,"(30, 9, 1, 7)",1
5553,"(30, 9, 1, 8)",1
5554,"(30, 9, 1, 9)",2
5555,"(30, 9, 1, 10)",2
5556,"(30, 9, 1, 11)",2
5557,"(30, 9, 1, 12)",2
5558,"(30, 9, 1, 13)",2
5559,"(30, 9, 1, 14)",2
5560,"(30, 9, 2, 5)",1
5561,"(30, 9, 2, 6)",1
5562,"(30, 9, 2, 7)",1
5563,"(30, 9, 2, 8)",1
5564,"(30, 9, 2, 9)",2
5565,"(30, 9, 2, 10)",2
5566,"(30, 9, 2, 11)",2
5567,"(30, 9, 2, 12)",2
5568,"(30, 9, 2, 13)",2
5569,"(30, 9, 2, 14)",2
5570,"(30, 9, 3, 5)",1
5571,"(30, 9, 3, 6)",1
5572,"(30, 9, 3, 7)",2
5573,"(30, 9, 3, 8)",2
5574,"(30, 9, 3, 9)",2
5575,"(30, 9, 3, 10)",2
5576,"(30, 9, 3, 11)",2
5577,"(30, 9, 3, 12)",2
5578,"(30, 9, 3, 13)",2
5579,"(30, 9, 3, 14)",2
5580,"(30, 9, 4, 5)",2
5581,"(30, 9, 4, 6)",2
5582,"(30, 9, 4, 7)",2
5583,"(30, 9, 4, 8)",2
5584,"(30, 9, 4, 9)",2
5585,"(30, 9, 4, 10)",2
5586,"(30, 9, 4, 11)",2
5587,"(30, 9, 4, 12)",2
5588,"(30, 9, 4, 13)",2
5589,"(30, 9, 4, 14)",2
5590,"(30, 9, 5, 5)",2
5591,"(30, 9, 5, 6)",2
5592,"(30, 9, 5, 7)",2
5593,"(30, 9, 5, 8)",2
5594,"(30, 9, 5, 9)",2
5595,"(30, 9, 5, 10)",1
5596,"(30, 9, 5, 11)",1
5597,"(30, 9, 5, 12)",1
5598,"(30, 9, 5, 13)",1
5599,"(30, 9, 5, 14)",1
5600,"(31, 1, 1, 5)",0
5601,"(31, 1, 1, 6)",0
5602,"(31, 1, 1, 7)",0
5603,"(31, 1, 1, 8)",0
5604,"(31, 1, 1, 9)",0
5605,"(31, 1, 1, 10)",0
5606,"(31, 1, 1, 11)",0
5607,"(31, 1, 1, 12)",2
5608,"(31, 1, 1, 13)",2
5609,"(31, 1, 1, 14)",1
5610,"(31, 1, 2, 5)",0
5611,"(31, 1, 2, 6)",0
5612,"(31, 1, 2, 7)",0
5613,"(31, 1, 2, 8)",0
5614,"(31, 1, 2, 9)",0
5615,"(31, 1, 2, 10)",0
5616,"(31, 1, 2, 11)",1
5617,"(31, 1, 2, 12)",1
5618,"(31, 1, 2, 13)",1
5619,"(31, 1, 2, 14)",1
5620,"(31, 1, 3, 5)",0
5621,"(31, 1, 3, 6)",0
5622,"(31, 1, 3, 7)",0
5623,"(31, 1, 3, 8)",0
5624,"(31, 1, 3, 9)",0
5625,"(31, 1, 3, 10)",0
5626,"(31, 1, 3, 11)",0
5627,"(31, 1, 3, 12)",1
5628,"(31, 1, 3, 13)",1
5629,"(31, 1, 3, 14)",1
5630,"(31, 1, 4, 5)",0
5631,"(31, 1, 4, 6)",0
5632,"(31, 1, 4, 7)",0
5633,"(31, 1, 4, 8)",0
5634,"(31, 1, 4, 9)",0
5635,"(31, 1, 4, 10)",0
5636,"(31, 1, 4, 11)",0
5637,"(31, 1, 4, 12)",0
5638,"(31, 1, 4, 13)",2
5639,"(31, 1, 4, 14)",2
5640,"(31, 1, 5, 5)",0
5641,"(31, 1, 5, 6)",0
5642,"(31, 1, 5, 7)",0
5643,"(31, 1, 5, 8)",0
5644,"(31, 1, 5, 9)",0
5645,"(31, 1, 5, 10)",0
5646,"(31, 1, 5, 11)",0
5647,"(31, 1, 5, 12)",2
5648,"(31, 1, 5, 13)",2
5649,"(31, 1, 5, 14)",2
5650,"(31, 2, 1, 5)",0
5651,"(31, 2, 1, 6)",0
5652,"(31, 2, 1, 7)",0
5653,"(31, 2, 1, 8)",0
5654,"(31, 2, 1, 9)",0
5655,"(31, 2, 1, 10)",0
5656,"(31, 2, 1, 11)",2
5657,"(31, 2, 1, 12)",2
5658,"(31, 2, 1, 13)",2
5659,"(31, 2, 1, 14)",2
5660,"(31, 2, 2, 5)",0
5661,"(31, 2, 2, 6)",0
5662,"(31, 2, 2, 7)",0
5663,"(31, 2, 2, 8)",0
5664,"(31, 2, 2, 9)",0
5665,"(31, 2, 2, 10)",0
5666,"(31, 2, 2, 11)",2
5667,"(31, 2, 2, 12)",2
5668,"(31, 2, 2, 13)",2
5669,"(31, 2, 2, 14)",2
5670,"(31, 2, 3, 5)",0
5671,"(31, 2, 3, 6)",0
5672,"(31, 2, 3, 7)",0
5673,"(31, 2, 3, 8)",0
5674,"(31, 2, 3, 9)",0
5675,"(31, 2, 3, 10)",0
5676,"(31, 2, 3, 11)",2
5677,"(31, 2, 3, 12)",2
5678,"(31, 2, 3, 13)",2
5679,"(31, 2, 3, 14)",2
5680,"(31, 2, 4, 5)",0
5681,"(31, 2, 4, 6)",0
5682,"(31, 2, 4, 7)",0
5683,"(31, 2, 4, 8)",0
5684,"(31, 2, 4, 9)",0
5685,"(31, 2, 4, 10)",0
5686,"(31, 2, 4, 11)",2
5687,"(31, 2, 4, 12)",2
5688,"(31, 2, 4, 13)",2
5689,"(31, 2, 4, 14)",2
5690,"(31, 2, 5, 5)",0
5691,"(31, 2, 5, 6)",0
5692,"(31, 2, 5, 7)",0
5693,"(31, 2, 5, 8)",0
5694,"(31, 2, 5, 9)",0
5695,"(31, 2, 5, 10)",2
5696,"(31, 2, 5, 11)",2
5697,"(31, 2, 5, 12)",2
5698,"(31, 2, 5, 13)",2
5699,"(31, 2, 5, 14)",2
5700,"(31, 3, 1, 5)",0
5701,"(31, 3, 1, 6)",0
5702,"(31, 3, 1, 7)",0
5703,"(31, 3, 1, 8)",0
5704,"(31, 3, 1, 9)",0
5705,"(31, 3, 1, 10)",2
5706,"(31, 3, 1, 11)",2
5707,"(31, 3, 1, 12)",2
5708,"(31, 3, 1, 13)",2
5709,"(31, 3, 1, 14)",2
5710,"(31, 3, 2, 5)",0
5711,"(31, 3, 2, 6)",0
5712,"(31, 3, 2, 7)",0
5713,"(31, 3, 2, 8)",0
5714,"(31, 3, 2, 9)",0
5715,"(31, 3, 2, 10)",2
5716,"(31, 3, 2, 11)",2
5717,"(31, 3, 2, 12)",2
5718,"(31, 3, 2, 13)",2
5719,"(31, 3, 2, 14)",2
5720,"(31, 3, 3, 5)",0
5721,"(31, 3, 3, 6)",0
5722,"(31, 3, 3, 7)",0
5723,"(31, 3, 3, 8)",0
5724,"(31, 3, 3, 9)",0
5725,"(31, 3, 3, 10)",0
5726,"(31, 3, 3, 11)",2
5727,"(31, 3, 3, 12)",2
5728,"(31, 3, 3, 13)",2
5729,"(31, 3, 3, 14)",2
5730,"(31, 3, 4, 5)",0
5731,"(31, 3, 4, 6)",0
5732,"(31, 3, 4, 7)",0
5733,"(31, 3, 4, 8)",0
5734,"(31, 3, 4, 9)",0
5735,"(31, 3, 4, 10)",0
5736,"(31, 3, 4, 11)",2
5737,"(31, 3, 4, 12)",2
5738,"(31, 3, 4, 13)",2
5739,"(31, 3, 4, 14)",2
5740,"(31, 3, 5, 5)",0
5741,"(31, 3, 5, 6)",0
5742,"(31, 3, 5, 7)",0
5743,"(31, 3, 5, 8)",0
5744,"(31, 3, 5, 9)",0
5745,"(31, 3, 5, 10)",0
5746,"(31, 3, 5, 11)",2
5747,"(31, 3, 5, 12)",2
5748,"(31, 3, 5, 13)",2
5749,"(31, 3, 5, 14)",2
5750,"(31, 4, 1, 5)",0
5751,"(31, 4, 1, 6)",0
5752,"(31, 4, 1, 7)",0
5753,"(31, 4, 1, 8)",0
5754,"(31, 4, 1, 9)",0
5755,"(31, 4, 1, 10)",2
5756,"(31, 4, 1, 11)",2
5757,"(31, 4, 1, 12)",2
5758,"(31, 4, 1, 13)",2
5759,"(31, 4, 1, 14)",2
5760,"(31, 4, 2, 5)",0
5761,"(31, 4, 2, 6)",0
5762,"(31, 4, 2, 7)",0
5763,"(31, 4, 2, 8)",0
5764,"(31, 4, 2, 9)",0
5765,"(31, 4, 2, 10)",2
5766,"(31, 4, 2, 11)",2
5767,"(31, 4, 2, 12)",2
5768,"(31, 4, 2, 13)",2
5769,"(31, 4, 2, 14)",2
5770,"(31, 4, 3, 5)",0
5771,"(31, 4, 3, 6)",0
5772,"(31, 4, 3, 7)",0
5773,"(31, 4, 3, 8)",0
5774,"(31, 4, 3, 9)",0
5775,"(31, 4, 3, 10)",2
5776,"(31, 4, 3, 11)",2
5777,"(31, 4, 3, 12)",2
5778,"(31, 4, 3, 13)",2
5779,"(31, 4, 3, 14)",2
5780,"(31, 4, 4, 5)",0
5781,"(31, 4, 4, 6)",0
5782,"(31, 4, 4, 7)",0
5783,"(31, 4, 4, 8)",0
5784,"(31, 4, 4, 9)",0
5785,"(31, 4, 4, 10)",2
5786,"(31, 4, 4, 11)",2
5787,"(31, 4, 4, 12)",2
5788,"(31, 4, 4, 13)",2
5789,"(31, 4, 4, 14)",2
5790,"(31, 4, 5, 5)",0
5791,"(31, 4, 5, 6)",0
5792,"(31, 4, 5, 7)",0
5793,"(31, 4, 5, 8)",0
5794,"(31, 4, 5, 9)",0
5795,"(31, 4, 5, 10)",0
5796,"(31, 4, 5, 11)",2
5797,"(31, 4, 5, 12)",2
5798,"(31, 4, 5, 13)",2
5799,"(31, 4, 5, 14)",2
5800,"(31, 5, 1, 5)",0
5801,"(31, 5, 1, 6)",0
5802,"(31, 5, 1, 7)",0
5803,"(31, 5, 1, 8)",0
5804,"(31, 5, 1, 9)",0
5805,"(31, 5, 1, 10)",2
5806,"(31, 5, 1, 11)",2
5807,"(31, 5, 1, 12)",2
5808,"(31, 5, 1, 13)",2
5809,"(31, 5, 1, 14)",2
5810,"(31, 5, 2, 5)",0
5811,"(31, 5, 2, 6)",0
5812,"(31, 5, 2, 7)",0
5813,"(31, 5, 2, 8)",0
5814,"(31, 5, 2, 9)",0
5815,"(31, 5, 2, 10)",2
5816,"(31, 5, 2, 11)",2
5817,"(31, 5, 2, 12)",2
5818,"(31, 5, 2, 13)",2
5819,"(31, 5, 2, 14)",2
5820,"(31, 5, 3, 5)",0
5821,"(31, 5, 3, 6)",0
5822,"(31, 5, 3, 7)",0
5823,"(31, 5, 3, 8)",0
5824,"(31, 5, 3, 9)",0
5825,"(31, 5, 3, 10)",2
5826,"(31, 5, 3, 11)",2
5827,"(31, 5, 3, 12)",2
5828,"(31, 5, 3, 13)",2
5829,"(31, 5, 3, 14)",2
5830,"(31, 5, 4, 5)",0
5831,"(31, 5, 4, 6)",0
5832,"(31, 5, 4, 7)",0
5833,"(31, 5, 4, 8)",0
5834,"(31, 5, 4, 9)",0
5835,"(31, 5, 4, 10)",2
5836,"(31, 5, 4, 11)",2
5837,"(31, 5, 4, 12)",2
5838,"(31, 5, 4, 13)",2
5839,"(31, 5, 4, 14)",2
5840,"(31, 5, 5, 5)",0
5841,"(31, 5, 5, 6)",0
5842,"(31, 5, 5, 7)",0
5843,"(31, 5, 5, 8)",0
5844,"(31, 5, 5, 9)",0
5845,"(31, 5, 5, 10)",0
5846,"(31, 5, 5, 11)",2
5847,"(31, 5, 5, 12)",2
5848,"(31, 5, 5, 13)",2
5849,"(31, 5, 5, 14)",2
5850,"(31, 6, 1, 5)",1
5851,"(31, 6, 1, 6)",0
5852,"(31, 6, 1, 7)",0
5853,"(31, 6, 1, 8)",0
5854,"(31, 6, 1, 9)",0
5855,"(31, 6, 1, 10)",0
5856,"(31, 6, 1, 11)",2
5857,"(31, 6, 1, 12)",2
5858,"(31, 6, 1, 13)",2
5859,"(31, 6, 1, 14)",2
5860,"(31, 6, 2, 5)",1
5861,"(31, 6, 2, 6)",0
5862,"(31, 6, 2, 7)",0
5863,"(31, 6, 2, 8)",0
5864,"(31, 6, 2, 9)",0
5865,"(31, 6, 2, 10)",2
5866,"(31, 6, 2, 11)",2
5867,"(31, 6, 2, 12)",2
5868,"(31, 6, 2, 13)",2
5869,"(31, 6, 2, 14)",2
5870,"(31, 6, 3, 5)",0
5871,"(31, 6, 3, 6)",0
5872,"(31, 6, 3, 7)",0
5873,"(31, 6, 3, 8)",0
5874,"(31, 6, 3, 9)",0
5875,"(31, 6, 3, 10)",1
5876,"(31, 6, 3, 11)",2
5877,"(31, 6, 3, 12)",2
5878,"(31, 6, 3, 13)",2
5879,"(31, 6, 3, 14)",2
5880,"(31, 6, 4, 5)",0
5881,"(31, 6, 4, 6)",0
5882,"(31, 6, 4, 7)",0
5883,"(31, 6, 4, 8)",0
5884,"(31, 6, 4, 9)",0
5885,"(31, 6, 4, 10)",2
5886,"(31, 6, 4, 11)",2
5887,"(31, 6, 4, 12)",2
5888,"(31, 6, 4, 13)",2
5889,"(31, 6, 4, 14)",2
5890,"(31, 6, 5, 5)",0
5891,"(31, 6, 5, 6)",0
5892,"(31, 6, 5, 7)",0
5893,"(31, 6, 5, 8)",2
5894,"(31, 6, 5, 9)",2
5895,"(31, 6, 5, 10)",2
5896,"(31, 6, 5, 11)",2
5897,"(31, 6, 5, 12)",2
5898,"(31, 6, 5, 13)",2
5899,"(31, 6, 5, 14)",2
5900,"(31, 9, 1, 5)",1
5901,"(31, 9, 1, 6)",1
5902,"(31, 9, 1, 7)",1
5903,"(31, 9, 1, 8)",1
5904,"(31, 9, 1, 9)",2
5905,"(31, 9, 1, 10)",2
5906,"(31, 9, 1, 11)",2
5907,"(31, 9, 1, 12)",2
5908,"(31, 9, 1, 13)",2
5909,"(31, 9, 1, 14)",2
5910,"(31, 9, 2, 5)",1
5911,"(31, 9, 2, 6)",1
5912,"(31, 9, 2, 7)",1
5913,"(31, 9, 2, 8)",1
5914,"(31, 9, 2, 9)",2
5915,"(31, 9, 2, 10)",2
5916,"(31, 9, 2, 11)",2
5917,"(31, 9, 2, 12)",2
5918,"(31, 9, 2, 13)",2
5919,"(31, 9, 2, 14)",2
5920,"(31, 9, 3, 5)",1
5921,"(31, 9, 3, 6)",1
5922,"(31, 9, 3, 7)",2
5923,"(31, 9, 3, 8)",2
5924,"(31, 9, 3, 9)",2
5925,"(31, 9, 3, 10)",2
5926,"(31, 9, 3, 11)",2
5927,"(31, 9, 3, 12)",2
5928,"(31, 9, 3, 13)",2
5929,"(31, 9, 3, 14)",2
5930,"(31, 9, 4, 5)",2
5931,"(31, 9, 4, 6)",2
5932,"(31, 9, 4, 7)",2
5933,"(31, 9, 4, 8)",2
5934,"(31, 9, 4, 9)",2
5935,"(31, 9, 4, 10)",2
5936,"(31, 9, 4, 11)",2
5937,"(31, 9, 4, 12)",2
5938,"(31, 9, 4, 13)",2
5939,"(31, 9, 4, 14)",2
5940,"(31, 9, 5, 5)",2
5941,"(31, 9, 5, 6)",2
5942,"(31, 9, 5, 7)",2
5943,"(31, 9, 5, 8)",2
5944,"(31, 9, 5, 9)",2
5945,"(31, 9, 5, 10)",1
5946,"(31, 9, 5, 11)",1
5947,"(31, 9, 5, 12)",1
5948,"(31, 9, 5, 13)",1
5949,"(31, 9, 5, 14)",1
5950,"(32, 1, 1, 5)",0
5951,"(32, 1, 1, 6)",0
5952,"(32, 1, 1, 7)",0
5953,"(32, 1, 1, 8)",0
5954,"(32, 1, 1, 9)",0
5955,"(32, 1, 1, 10)",0
5956,"(32, 1, 1, 11)",0
5957,"(32, 1, 1, 12)",2
5958,"(32, 1, 1, 13)",2
5959,"(32, 1, 1, 14)",2
5960,"(32, 1, 2, 5)",0
5961,"(32, 1, 2, 6)",0
5962,"(32, 1, 2, 7)",0
5963,"(32, 1, 2, 8)",0
5964,"(32, 1, 2, 9)",0
5965,"(32, 1, 2, 10)",0
5966,"(32, 1, 2, 11)",1
5967,"(32, 1, 2, 12)",1
5968,"(32, 1, 2, 13)",1
5969,"(32, 1, 2, 14)",1
5970,"(32, 1, 3, 5)",0
5971,"(32, 1, 3, 6)",0
5972,"(32, 1, 3, 7)",0
5973,"(32, 1, 3, 8)",0
5974,"(32, 1, 3, 9)",0
5975,"(32, 1, 3, 10)",0
5976,"(32, 1, 3, 11)",0
5977,"(32, 1, 3, 12)",0
5978,"(32, 1, 3, 13)",1
5979,"(32, 1, 3, 14)",1
5980,"(32, 1, 4, 5)",0
5981,"(32, 1, 4, 6)",0
5982,"(32, 1, 4, 7)",0
5983,"(32, 1, 4, 8)",0
5984,"(32, 1, 4, 9)",0
5985,"(32, 1, 4, 10)",0
5986,"(32, 1, 4, 11)",0
5987,"(32, 1, 4, 12)",0
5988,"(32, 1, 4, 13)",2
5989,"(32, 1, 4, 14)",2
5990,"(32, 1, 5, 5)",0
5991,"(32, 1, 5, 6)",0
5992,"(32, 1, 5, 7)",0
5993,"(32, 1, 5, 8)",0
5994,"(32, 1, 5, 9)",0
5995,"(32, 1, 5, 10)",0
5996,"(32, 1, 5, 11)",0
5997,"(32, 1, 5, 12)",0
5998,"(32, 1, 5, 13)",2
5999,"(32, 1, 5, 14)",2
6000,"(32, 2, 1, 5)",0
6001,"(32, 2, 1, 6)",0
6002,"(32, 2, 1, 7)",0
6003,"(32, 2, 1, 8)",0
6004,"(32, 2, 1, 9)",0
6005,"(32, 2, 1, 10)",0
6006,"(32, 2, 1, 11)",2
6007,"(32, 2, 1, 12)",2
6008,"(32, 2, 1, 13)",2
6009,"(32, 2, 1, 14)",2
6010,"(32, 2, 2, 5)",0
6011,"(32, 2, 2, 6)",0
6012,"(32, 2, 2, 7)",0
6013,"(32, 2, 2, 8)",0
6014,"(32, 2, 2, 9)",0
6015,"(32, 2, 2, 10)",0
6016,"(32, 2, 2, 11)",2
6017,"(32, 2, 2, 12)",2
6018,"(32, 2, 2, 13)",2
6019,"(32, 2, 2, 14)",2
6020,"(32, 2, 3, 5)",0
6021,"(32, 2, 3, 6)",0
6022,"(32, 2, 3, 7)",0
6023,"(32, 2, 3, 8)",0
6024,"(32, 2, 3, 9)",0
6025,"(32, 2, 3, 10)",0
6026,"(32, 2, 3, 11)",0
6027,"(32, 2, 3, 12)",2
6028,"(32, 2, 3, 13)",2
6029,"(32, 2, 3, 14)",2
6030,"(32, 2, 4, 5)",0
6031,"(32, 2, 4, 6)",0
6032,"(32, 2, 4, 7)",0
6033,"(32, 2, 4, 8)",0
6034,"(32, 2, 4, 9)",0
6035,"(32, 2, 4, 10)",0
6036,"(32, 2, 4, 11)",0
6037,"(32, 2, 4, 12)",2
6038,"(32, 2, 4, 13)",2
6039,"(32, 2, 4, 14)",2
6040,"(32, 2, 5, 5)",0
6041,"(32, 2, 5, 6)",0
6042,"(32, 2, 5, 7)",0
6043,"(32, 2, 5, 8)",0
6044,"(32, 2, 5, 9)",0
6045,"(32, 2, 5, 10)",0
6046,"(32, 2, 5, 11)",2
6047,"(32, 2, 5, 12)",2
6048,"(32, 2, 5, 13)",2
6049,"(32, 2, 5, 14)",2
6050,"(32, 3, 1, 5)",0
6051,"(32, 3, 1, 6)",0
6052,"(32, 3, 1, 7)",0
6053,"(32, 3, 1, 8)",0
6054,"(32, 3, 1, 9)",0
6055,"(32, 3, 1, 10)",0
6056,"(32, 3, 1, 11)",2
6057,"(32, 3, 1, 12)",2
6058,"(32, 3, 1, 13)",2
6059,"(32, 3, 1, 14)",2
6060,"(32, 3, 2, 5)",0
6061,"(32, 3, 2, 6)",0
6062,"(32, 3, 2, 7)",0
6063,"(32, 3, 2, 8)",0
6064,"(32, 3, 2, 9)",0
6065,"(32, 3, 2, 10)",0
6066,"(32, 3, 2, 11)",2
6067,"(32, 3, 2, 12)",2
6068,"(32, 3, 2, 13)",2
6069,"(32, 3, 2, 14)",2
6070,"(32, 3, 3, 5)",0
6071,"(32, 3, 3, 6)",0
6072,"(32, 3, 3, 7)",0
6073,"(32, 3, 3, 8)",0
6074,"(32, 3, 3, 9)",0
6075,"(32, 3, 3, 10)",0
6076,"(32, 3, 3, 11)",2
6077,"(32, 3, 3, 12)",2
6078,"(32, 3, 3, 13)",2
6079,"(32, 3, 3, 14)",2
